year,month,day,discharge
1995,6,25,1123.2111
1995,6,26,1106.6154
1995,6,27,1116.8553
1995,6,28,1108.3809
1995,6,29,1115.796
1995,6,30,1123.2111
1995,7,1,1136.2758
1995,7,2,1129.5669
1995,7,3,1113.6774
1995,7,4,1090.7259
1995,7,5,1123.5642
1995,7,6,1133.451
1995,7,7,1121.0925
1995,7,8,1109.4402
1995,7,9,1130.6262
1995,7,10,1120.3863
1995,7,11,1113.3243
1995,7,12,1088.2542
1995,7,13,1119.6801
1995,7,14,1086.4887
1995,7,15,1060.3593
1995,7,16,1077.6612
1995,7,17,1047.2946
1995,7,18,1062.831
1995,7,19,1032.8175
1995,7,20,1061.7717
1995,7,21,1032.4644
1995,7,22,1025.0493
1995,7,23,1061.7717
1995,7,24,1043.7636
1995,7,25,1026.1086
1995,7,26,1032.8175
1995,7,27,1077.3081
1995,7,28,1158.168
1995,7,29,1289.1681
1995,7,30,1367.9094
1995,7,31,1404.2787
1995,8,1,1359.435
1995,8,2,1282.4592
1995,8,3,1344.2517
1995,8,4,1318.4754
1995,8,5,1295.877
1995,8,6,1245.7368
1995,8,7,1193.8311
1995,8,8,1145.4564
1995,8,9,1117.2084
1995,8,10,1098.141
1995,8,11,1063.1841
1995,8,12,1219.9605
1995,8,13,1688.8773
1995,8,14,1900.7373
1995,8,15,2045.8614
1995,8,16,2084.3493
1995,8,17,2961.4497
1995,8,18,3245.6952
1995,8,19,3134.8218
1995,8,20,3157.7733
1995,8,21,3418.008
1995,8,22,3243.5766
1995,8,23,3017.5926
1995,8,24,2861.8755
1995,8,25,2600.5815
1995,8,26,2412.0261
1995,8,27,2203.6971
1995,8,28,2095.2954
1995,8,29,2131.6647
1995,8,30,2011.6107
1995,8,31,1831.5297
1995,9,1,1806.4596
1995,9,2,1675.1064
1995,9,3,1617.9042
1995,9,4,1523.2734
1995,9,5,1506.6777
1995,9,6,1412.4
1995,9,7,1357.6695
1995,9,8,1279.6344
1995,9,9,1215.3702
1995,9,10,1149.6936
1995,9,11,1088.6073
1995,9,12,1061.0655
1995,9,13,1031.4051
1995,9,14,1093.5507
1995,9,15,1047.6477
1995,9,16,1178.2947
1995,9,17,974.2029
1995,9,18,942.4239
1995,9,19,927.5937
1995,9,20,1098.4941
1995,9,21,867.9198
1995,9,22,868.9791
1995,9,23,1026.1086
1995,9,24,817.4265
1995,9,25,968.2002
1995,9,26,781.4103
1995,9,27,997.5075
1995,9,28,700.9035
1995,9,29,914.1759
1995,9,30,935.3619
1995,10,1,876.3942
1995,10,2,833.316
1995,10,3,541.6554
1995,10,4,799.7715
1995,10,5,864.0357
1995,10,6,569.9034
1995,10,7,819.192
1995,10,8,879.5721
1995,10,9,572.7282
1995,10,10,813.1893
1995,10,11,855.2082
1995,10,12,567.0786
1995,10,13,797.6529
1995,10,14,874.2756
1995,10,15,842.4966
1995,10,16,801.537
1995,10,17,763.0491
1995,10,18,718.5585
1995,10,19,691.3698
1995,10,20,691.3698
1995,10,21,695.2539
1995,10,22,690.3105
1995,10,23,670.1838
1995,10,24,663.828
1995,10,25,653.9412
1995,10,26,641.5827
1995,10,27,688.545
1995,10,28,693.1353
1995,10,29,686.7795
1995,10,30,667.359
1995,10,31,694.5477
1995,11,1,492.5745
1995,11,2,652.5288
1995,11,3,772.9359
1995,11,4,871.4508
1995,11,5,931.4778
1995,11,6,963.6099
1995,11,7,986.9145
1995,11,8,989.0331
1995,11,9,981.2649
1995,11,10,1019.0466
1995,11,11,1946.6403
1995,11,12,2552.913
1995,11,13,3002.4093
1995,11,14,2898.5979
1995,11,15,2993.9349
1995,11,16,2981.2233
1995,11,17,2861.1693
1995,11,18,2722.0479
1995,11,19,2661.6678
1995,11,20,2785.6059
1995,11,21,2831.5089
1995,11,22,2650.7217
1995,11,23,2490.7674
1995,11,24,2388.7215
1995,11,25,2220.999
1995,11,26,2124.2496
1995,11,27,2095.6485
1995,11,28,2100.5919
1995,11,29,2108.7132
1995,11,30,2006.3142
1995,12,1,2669.7891
1995,12,2,3184.6089
1995,12,3,3342.7977
1995,12,4,3464.6172
1995,12,5,4120.677
1995,12,6,3986.499
1995,12,7,3809.949
1995,12,8,3626.337
1995,12,9,3311.7249
1995,12,10,2979.1047
1995,12,11,2671.9077
1995,12,12,2450.1609
1995,12,13,2254.8966
1995,12,14,2227.0017
1995,12,15,2264.0772
1995,12,16,2699.0964
1995,12,17,2656.7244
1995,12,18,2476.6434
1995,12,19,2322.3387
1995,12,20,2197.6944
1995,12,21,2149.3197
1995,12,22,2166.2685
1995,12,23,2129.8992
1995,12,24,2001.3708
1995,12,25,1860.1308
1995,12,26,1728.4245
1995,12,27,1651.4487
1995,12,28,1588.5969
1995,12,29,1519.7424
1995,12,30,1565.6454
1995,12,31,1495.7316
1996,1,1,1734.7803
1996,1,2,1892.616
1996,1,3,1883.7885
1996,1,4,1890.1443
1996,1,5,1944.5217
1996,1,6,1897.9125
1996,1,7,1824.4677
1996,1,8,1748.5512
1996,1,9,1741.8423
1996,1,10,1683.5808
1996,1,11,1610.136
1996,1,12,1535.985
1996,1,13,1491.1413
1996,1,14,1709.7102
1996,1,15,1841.7696
1996,1,16,1836.8262
1996,1,17,2174.0367
1996,1,18,3940.596
1996,1,19,5317.686
1996,1,20,5307.093
1996,1,21,4929.276
1996,1,22,4304.289
1996,1,23,3848.79
1996,1,24,3774.639
